"Id","SalePrice"
1461,121249.509973121
1462,156957.011143101
1463,178006.355686836
1464,194746.611349863
1465,194513.035463734
1466,168500.390994282
1467,182822.848318009
1468,160779.192547629
1469,201688.793727313
1470,110145.731664764
1471,202502.840444368
1472,94579.7773384582
1473,93516.8320659885
1474,145513.343387449
1475,112366.602698757
1476,355696.05228897
1477,239971.4987839
1478,306315.521908424
1479,298935.079686626
1480,448734.042392569
1481,309676.374308847
1482,210888.605855041
1483,185165.825698676
1484,163798.156735919
1485,201575.11747337
1486,198964.386889289
1487,320037.82568409
1488,237704.28875582
1489,189353.991906041
1490,237697.973755521
1491,199892.714045624
1492,93115.29866477
1493,183717.135285221
1494,288883.978248373
1495,285651.9381329
1496,232257.152721339
1497,180222.553912826
1498,162251.784480179
1499,161126.910042128
1500,152797.256467892
1501,170401.060450336
1502,145515.468711966
1503,283576.463344469
1504,243797.972294756
1505,224778.104023011
1506,195230.583876884
1507,245124.922284862
1508,203316.833947961
1509,163955.437118224
1510,139598.349995155
1511,146595.808969477
1512,179494.172126696
1513,149790.974535983
1514,145898.156946027
1515,218232.258073689
1516,166248.495018468
1517,177277.058755748
1518,132049.175670562
1519,214051.729136614
1520,124139.38286518
1521,129397.92642904
1522,188314.293785503
1523,107293.214253977
1524,133496.681122136
1525,117573.0104873
1526,111483.836053315
1527,100710.395671161
1528,149557.262729519
1529,136217.879267599
1530,191116.158313872
1531,108130.584016224
1532,101766.992096552
1533,152760.53810134
1534,134425.605157971
1535,163678.404471944
1536,113616.052275939
1537,59217.9896399661
1538,145514.746841088
1539,221004.145119991
1540,94339.7419807306
1541,159155.393349487
1542,139209.186138972
1543,179963.475686776
1544,84335.4822039495
1545,109404.424380261
1546,135286.862247266
1547,139813.109349309
1548,133047.768036826
1549,111228.302348585
1550,124683.938127038
1551,121214.368803175
1552,124255.220181175
1553,147851.199157516
1554,116828.875765375
1555,169949.667354685
1556,87655.7744384251
1557,105386.333870388
1558,102901.665204333
1559,77037.4799697392
1560,136864.94242711
1561,127269.575634949
1562,130829.534279381
1563,112931.13301933
1564,166135.029830826
1565,148052.098223173
1566,245187.362365603
1567,76432.5378718773
1568,225407.614730469
1569,128520.145765103
1570,153255.122549073
1571,136298.97363013
1572,144733.718975432
1573,259637.488179357
1574,120343.541462364
1575,231320.120736992
1576,246694.296312351
1577,182068.892309217
1578,148509.311302524
1579,146140.317452184
1580,199156.077572339
1581,161179.122835561
1582,124329.091747391
1583,292160.047200417
1584,217476.605101549
1585,142164.187811243
1586,68725.6609037011
1587,105398.738107502
1588,145248.916438679
1589,100543.629702066
1590,145360.222051429
1591,91540.2149004595
1592,123203.404779862
1593,126392.126477356
1594,130877.204113741
1595,107067.942641992
1596,212531.505297786
1597,171398.927722533
1598,225495.232488473
1599,178399.826927069
1600,174491.483837835
1601,60270.2635288073
1602,116181.619814035
1603,92043.1959509521
1604,253490.150737063
1605,262708.583554948
1606,176090.624164533
1607,174954.78941912
1608,224060.683829954
1609,184954.248779483
1610,148042.556312888
1611,148311.303577055
1612,179791.823360473
1613,162825.208168491
1614,123162.91392809
1615,91967.5127938543
1616,78024.4921429922
1617,93308.0434285005
1618,121673.796335119
1619,142203.779903525
1620,143539.684902982
1621,142847.467655753
1622,137467.639111558
1623,269363.42615533
1624,219714.572342131
1625,122439.676747933
1626,170975.198977738
1627,186831.841847474
1628,281042.482161122
1629,189463.083964743
1630,329111.504522763
1631,215722.567048875
1632,240043.69209536
1633,177166.263084896
1634,188981.636520631
1635,180210.449117191
1636,157532.63103247
1637,200117.795308489
1638,191550.652966102
1639,191730.873915974
1640,270448.918620312
1641,189589.218124928
1642,245849.38977973
1643,226246.133250314
1644,236437.162644827
1645,211340.477746499
1646,161930.955493328
1647,165441.143842926
1648,123112.171703193
1649,142060.796896619
1650,101805.643938935
1651,119103.243452272
1652,98812.0589727275
1653,102441.570983623
1654,140967.506049512
1655,134062.598707378
1656,139590.402918885
1657,142125.230862494
1658,141680.048486242
1659,112681.432801268
1660,157336.825753427
1661,442317.878481242
1662,393055.370282102
1663,378129.824522646
1664,498986.057829266
1665,307905.177528564
1666,319455.193963678
1667,373415.95285387
1668,339532.94579935
1669,312719.087040642
1670,352417.266973712
1671,250636.770015559
1672,414626.67139021
1673,271110.744334886
1674,234127.542077961
1675,191490.473802905
1676,188916.416917264
1677,216661.935181364
1678,410228.494587034
1679,359158.281038418
1680,332044.51484034
1681,254674.780094365
1682,301382.350496169
1683,178346.721018575
1684,187343.062934041
1685,177763.021669841
1686,173624.478932925
1687,180022.910428348
1688,193631.356381801
1689,197040.304266754
1690,205158.881305051
1691,191587.438048819
1692,282648.747986575
1693,184591.516985657
1694,183277.800215731
1695,169456.383263096
1696,280405.37896318
1697,173238.732338496
1698,331721.51776008
1699,301706.523129214
1700,237318.122232115
1701,269217.097144253
1702,243392.653942298
1703,243557.72065136
1704,278278.853905655
1705,241768.821680765
1706,424371.370058108
1707,212936.805625622
1708,196617.564913791
1709,267499.837383588
1710,222408.976730788
1711,277545.64894691
1712,252888.595935216
1713,273119.894015127
1714,225261.796373838
1715,210833.57845482
1716,187965.639469596
1717,181512.460381088
1718,141353.70122153
1719,204156.750196546
1720,240279.023236196
1721,175194.045121782
1722,136630.554391004
1723,165166.308678941
1724,205452.522363539
1725,240332.518766322
1726,195497.40510502
1727,160939.064930916
1728,190619.784171126
1729,168345.7754438
1730,160481.930426246
1731,122003.300590407
1732,122302.630570175
1733,105970.24816917
1734,114986.812245041
1735,139031.980559066
1736,111325.777405353
1737,336770.372698625
1738,249521.736264735
1739,253286.203521044
1740,199510.631884652
1741,184258.89499939
1742,170633.865339706
1743,181853.537125018
1744,329237.683694349
1745,212090.503250346
1746,204404.083238485
1747,226210.264745917
1748,231811.533754803
1749,150373.034088787
1750,132069.31399236
1751,278911.094731918
1752,111399.596907555
1753,143800.983029573
1754,188884.941765694
1755,175868.678103698
1756,121970.142897383
1757,116627.823541143
1758,143651.418981749
1759,181609.317989478
1760,164748.864057712
1761,143449.694248545
1762,169235.210273418
1763,194330.946135717
1764,113672.031278344
1765,179802.299963331
1766,188276.502702041
1767,239703.806596072
1768,138328.312466827
1769,181249.951016182
1770,152296.391103881
1771,110975.782889469
1772,135002.446324727
1773,123076.096637974
1774,143429.786283659
1775,139676.51050757
1776,130034.947315609
1777,110045.302200663
1778,143401.725872003
1779,111355.323675381
1780,190848.618606821
1781,126877.696020789
1782,79675.2634038477
1783,135978.581059533
1784,105675.228264138
